Caption	Image ID
<span RHS><i>Digitalis lutea</i> AGM</span>	P00169
<span RHS><i>Echium russicum</i></span>	P00170
<span RHS><i>Helianthemum</i> 'Ben Hope'</span>	P00171
<span RHS><i>Helianthemum</i> 'Ben Hope'</span>	P00172
<span RHS><i>Helianthus</i> 'Lemon Queen' AGM</span>	P00173
<span RHS><i>Helianthus</i> 'Lemon Queen' AGM</span>	P00174
<span RHS><i>Helianthus</i> &times; <i>laetiflorus</i></span>	P00175
<span RHS><i>Helianthus</i> &times; <i>laetiflorus</i></span>	P00176
<span RHS><i>Helleborus argutifolius</i> AGM</span>	P00177
<span RHS><i>Hemerocallis</i> 'Golden Chimes'</span>	P00178
<span RHS><i>Hemerocallis</i> 'Sammy Russell'</span>	P00179
<span RHS><i>Hemerocallis</i> 'Bonanza'</span>	P00180
<span RHS><i>Hemerocallis</i> 'Chicago Apache'</span>	P00181
<span RHS><i>Hemerocallis</i> 'Golden Chimes'</span>	P00182
<span RHS><i>Hemerocallis lilioasphodelus</i></span>	P00183
<span RHS><i>Hemerocallis</i> 'Sammy Russell'</span>	P00184
<span RHS><i>Hemerocallis</i> 'Crimson Pirate'</span>	P00185
<span RHS><i>Hemerocallis</i> 'Crimson Pirate'</span>	P00186
<span RHS><i>Hemerocallis middendorffii</i></span>	P00187
<span RHS><i>Hemerocallis middendorffii</i></span>	P00188
<span RHS><i>Hemerocallis fulva</i> 'Flore Pleno' (d)</span>	P00189
<span RHS><i>Hemerocallis fulva</i> 'Flore Pleno' (d)</span>	P00190
<span RHS><i>Hemerocallis</i> 'Eenie Allegro'</span>	P00191
<span RHS><i>Heuchera</i> 'Blackbird'</span>	P00192
<span RHS><i>Hibiscus syriacus</i> 'Woodbridge' AGM</span>	P00193
<span RHS><i>Iberis sempervirens</i></span>	P00194
<span RHS><i>Inula magnifica</i></span>	P00197
<span RHS><i>Inula magnifica</i></span>	P00198
<span RHS><i>Iris</i> 'Dreaming Yellow' (Sib)</span>	P00199
<span RHS><i>Jasione laevis</i> 'Blaulicht'</span>	P00200
<span RHS><i>Jasione laevis</i> 'Blaulicht'</span>	P00201
<span RHS><i>Kerria japonica</i> 'Pleniflora' (d) AGM</span>	P00202
<span RHS><i>Knautia macedonica</i></span>	P00203
<span RHS><i>Knautia macedonica</i></span>	P00204
<span RHS><i>Kniphofia</i> 'Ice Queen'</span>	P00206
<span RHS><i>Kniphofia</i> 'John Benary'</span>	P00207
<span RHS><i>Kniphofia</i> 'John Benary'</span>	P00208
<span RHS><i>Kniphofia rooperi</i> AGM</span>	P00209
<span RHS><i>Kniphofia rooperi</i> AGM</span>	P00210
<span RHS><i>Kniphofia uvaria</i></span>	P00211
<span RHS><i>Kniphofia uvaria</i></span>	P00212
<span RHS><i>Doronicum</i> 'Little Leo'</span>	P00213
<span RHS><i>Echinacea purpurea</i></span>	P00214
<span RHS><i>Echinacea purpurea</i></span>	P00215
<span RHS><i>Euphorbia</i> &times; <i>martini</i></span>	P00216
<span RHS><i>Geranium</i> &times; <i>oxonianum</i> 'Wargrave Pink'</span>	P00217
<span RHS><i>Leucanthemum</i> &times; <i>superbum</i> 'Alaska'</span>	P00219
<span RHS><i>Leucanthemum</i> &times; <i>superbum</i> 'Alaska'</span>	P00220
<span RHS><i>Leucanthemum</i> &times; <i>superbum</i> 'Sonnenschein'</span>	P00221
<span RHS><i>Leycesteria formosa</i></span>	P00222
<span RHS><i>Liatris spicata</i></span>	P00223
<span RHS><i>Hosta</i> (Tardiana Group) 'June' <sup>(PBR)</sup> (v) AGM</span>	P00224
<span RHS><i>Imperata cylindrica</i> 'Rubra'</span>	P00225
<span RHS><i>Melianthus major</i> AGM</span> - at Old Vicarage East Rushton	P00226
<span RHS><i>Melianthus major</i> AGM</span>	P00227
<span RHS><i>Phlox paniculata</i> 'Europa'</span> && <span RHS><i>Phlox paniculata</i> 'Eventide'</span>	P00228
<span RHS><i>Phlox paniculata</i> 'David' AGM</span>	P00229
<span RHS><i>Phlox paniculata</i> 'Franz Schubert' AGM</span>	P00230
<span RHS><i>Acanthus mollis</i></span>	P00231
